# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
55400 -2.92136 134.327 58397.2
55500 -2.46632 62.614 58345.6
55600 -3.04653 165.71 58152.1
55700 0.317361 0.587229 58057.2
55800 -1.08339 6.15503 58018.7
55900 -5.7282 14890.3 57943.5
56000 -4.76837 2976.31 58009.4
56100 -4.76484 2958.74 58179.6
56200 -4.05106 893.572 58384
56300 -5.17731 5910.03 58439.9
56400 -0.783318 3.72078 58323.9
56500 -2.08405 32.976 58273.5
56600 -2.21833 41.3063 58421.1
56700 -11.4646 2.2479e+08 58386.8
56800 -1.49101 12.1949 58168.2
56900 -2.46675 62.6602 57932.3
57000 -3.81226 598.65 57951.7
57100 -3.9959 814.604 58007.7
57200 -3.51432 363.185 58130.9
57300 -1.24757 8.10657 58298.8
57400 -1.96266 26.9007 58549.4
57500 -2.47518 63.552 58722.3
57600 -3.62193 435.027 58510.6
57700 -4.4333 1696.63 58286.7
57800 -10.5806 5.10271e+07 58196.4
57900 -3.48305 344.626 58138
58000 -4.46725 1796.05 58253.4
58100 -2.04671 30.9738 58316.3
58200 -3.27511 243.146 58429.6
58300 -1.45177 11.4181 58546.9
58400 -2.7159 95.1675 58599.6
58500 -2.87604 124.494 58701
58600 -3.46797 336.019 58672.1
58700 -2.38374 54.5152 58541.7
58800 -2.25429 43.875 58363.3
58900 -4.93105 3910.1 58174.1
59000 0.525703 0.414032 58255.3
59100 -1.16631 7.07351 58290.5
59200 -4.75266 2898.93 58223.1
59300 -8.00799 681857 58263.8
59400 -1.14843 6.86453 58325.5
59500 -6.81645 92400.7 58402.9
59600 -3.26717 239.927 58497.7
59700 0.3715 0.536251 58612.7
59800 -2.60051 78.421 58597
59900 -0.699275 3.23155 58582.8
60000 -4.89453 3677.82 58528.3
60100 -2.2806 45.8542 58502.2
60200 -3.85313 641.122 58425
60300 -2.61301 80.0817 58346.2
60400 -2.47818 63.8723 58337.7
60500 -2.92851 135.947 58450.7
60600 -4.75837 2926.83 58386.8
60700 -3.22691 224.262 58222.6
60800 -2.21438 41.0337 58176.2
60900 -2.31843 48.8586 58201.4
61000 -2.18951 39.357 58234.1
61100 -4.94761 4020.29 58160
61200 -2.57345 74.9404 58169.3
61300 -0.441848 2.09835 58239.4
61400 0.276627 0.628756 58202.6
61500 -1.45746 11.5275 58259
61600 -1.44979 11.3801 58412.5
61700 -0.122378 1.22786 58544.3
61800 -2.03548 30.3961 58366.1
61900 0.428206 0.487595 58175.5
62000 -5.51256 10370.7 58247.1
62100 -2.28685 46.3377 58509.4
62200 -0.445023 2.10956 58679.3
62300 -4.3314 1430.06 58685.8
62400 -3.1207 187.663 58512.3
62500 -6.12523 28982.5 58389.6
62600 -2.16628 37.8532 58379.5
62700 -4.09555 962.821 58392.6
62800 -6.47958 52513 58443.2
62900 -0.337183 1.76048 58387.7
63000 -2.4912 65.2826 58186.1
63100 -1.10352 6.36643 58044.5
63200 -6.4144 47074.7 58102.2
63300 -0.289762 1.62587 58143.9
63400 -0.752856 3.53544 58079.9
63500 -2.63263 82.7623 58047.5
63600 -1.62662 15.3098 58066.5
63700 -5.91471 20359.5 58103.1
63800 -10.2492 2.92659e+07 58141.6
63900 -4.58162 2175.87 58431.1
64000 -3.4661 334.963 58576.9
64100 0.264548 0.641625 58535.4
