# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
50500 0 0 15500.1
50600 -2.35392 51.8556 15498.4
50700 3.62473 0.00228792 15322.6
50800 -0.60383 2.75347 15223.4
50900 -1.65399 16.0291 15212.8
51000 1.13007 0.150232 15290.3
51100 5.44624 0.000107772 15429.4
51200 8.85329 3.55239e-07 15569.5
51300 2.96091 0.00696666 15674.2
51400 4.97272 0.000238482 15747.4
51500 0.223001 0.687935 15747.4
51600 5.27833 0.000142831 15680.8
51700 0.62621 0.349797 15639.8
51800 1.41703 0.0928353 15640.7
51900 3.9014 0.00143845 15707.6
52000 2.71607 0.0105048 15763.6
52100 -1.04138 5.73627 15795.8
52200 5.13799 0.00018074 15790.1
52300 2.01164 0.0342415 15762.3
52400 5.76356 6.32903e-05 15767.6
52500 2.50003 0.0150926 15759.8
52600 -0.937686 4.82046 15717.1
52700 9.99396 5.24279e-08 15658.6
52800 3.22954 0.00443951 15608.6
52900 5.92716 4.81013e-05 15523
53000 0.537407 0.405983 15467.4
53100 -2.94626 140.056 15468.6
53200 -1.07804 6.10006 15414.1
53300 1.33363 0.106776 15375.1
53400 1.95018 0.0379598 15372.7
53500 2.89166 0.00782475 15356.4
53600 3.78834 0.00173883 15346.3
53700 2.21819 0.0242152 15407.4
53800 5.06281 0.000205033 15467.9
53900 1.44896 0.0879944 15485.6
54000 0.488637 0.440591 15526.2
54100 4.76396 0.000338477 15578.7
54200 -3.09209 178.871 15591.6
54300 3.52816 0.00269025 15633.1
54400 4.28682 0.000753565 15630.1
54500 1.25907 0.121001 15512
54600 4.71835 0.000365392 15382.3
54700 6.65888 1.40965e-05 15272.9
54800 -0.415034 2.00607 15243.1
54900 6.75725 1.19524e-05 15330.4
55000 6.08013 3.72154e-05 15465.4
55100 2.1083 0.0291165 15575.1
55200 7.27563 5.00977e-06 15639.4
55300 5.67607 7.32945e-05 15656.1
55400 3.40013 0.0033347 15603.2
55500 2.50914 0.0148638 15525.4
55600 1.58976 0.0694843 15438.7
55700 3.00028 0.0065215 15384.2
55800 10.8742 1.1977e-08 15377.3
55900 6.05021 3.91311e-05 15345.6
56000 3.88879 0.00146919 15367.1
56100 12.6306 6.29217e-10 15416.6
56200 7.11802 6.52579e-06 15474.4
56300 2.32128 0.0203698 15584.3
56400 -2.15839 37.3551 15727.3
56500 3.55737 0.00256161 15801.7
56600 1.1746 0.139418 15837.5
56700 4.2007 0.000870678 15821.9
56800 2.73691 0.0101438 15751.5
56900 -0.424328 2.03759 15623.8
57000 0.981542 0.192736 15527.5
57100 -1.47042 11.7808 15507.2
57200 9.34208 1.56476e-07 15529.3
57300 5.83025 5.65923e-05 15517.5
57400 -1.18008 7.23885 15448.1
57500 -2.22239 41.5886 15347.1
57600 -1.09735 6.30087 15308.2
57700 7.24541 5.27026e-06 15394.5
57800 1.87948 0.0427393 15477.9
57900 3.75954 0.00182489 15469.7
58000 6.11847 3.48975e-05 15455
58100 7.22465 5.45702e-06 15444.6
58200 1.34914 0.104034 15443.7
58300 3.5758 0.00248364 15517.7
58400 4.89923 0.000269766 15640.5
58500 -0.729291 3.39842 15751
58600 -0.411932 1.99566 15804.8
58700 -0.180816 1.35432 15792.5
58800 -0.602126 2.74561 15757.7
58900 3.30277 0.0039263 15722.4
59000 3.0974 0.00554107 15629.3
59100 5.61107 8.17377e-05 15566.6
59200 1.93806 0.0387393 15540.1
59300 0.877329 0.229552 15557.2
59400 -2.78558 106.968 15622
59500 -2.63098 82.5329 15673.2
59600 2.72153 0.010409 15668.8
59700 0.383693 0.525395 15611.7
59800 -0.331852 1.74481 15606.1
59900 1.78701 0.0499107 15645.1
60000 -1.19881 7.46992 15667.3
60100 0.735993 0.290965 15732.9
60200 -1.03034 5.63105 15753.5
60300 0.38221 0.526704 15749.2
60400 -2.09824 33.7702 15713
60500 3.57607 0.00248252 15694.1
60600 3.42574 0.00319452 15644
60700 2.29477 0.0212958 15597.3
60800 6.54262 1.71318e-05 15548.5
60900 5.84716 5.50091e-05 15534.8
61000 8.98388 2.85358e-07 15566
61100 0.519982 0.418024 15594.3
61200 4.93274 0.000255021 15609.5
61300 3.43824 0.00312822 15613
61400 3.32239 0.00379923 15638.3
61500 1.82217 0.0470522 15722.7
61600 -2.29013 46.5929 15793.9
61700 1.93749 0.0387768 15804
61800 0.720001 0.298876 15804.4
61900 -1.47699 11.9115 15821.6
62000 0.42978 0.486309 15830.3
62100 2.48698 0.0154268 15837.3
62200 -0.567687 2.5915 15774.4
62300 -0.153554 1.29378 15674.7
62400 -0.252108 1.52636 15605.7
62500 9.2355 1.87107e-07 15623.4
62600 0.562393 0.389319 15684.9
62700 -1.02809 5.60976 15746.6
62800 -0.468647 2.19483 15861.2
62900 2.36063 0.0190685 15973.9
63000 2.69677 0.0108505 16018.8
63100 -0.80072 3.831 16039.7
