# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
50500 0 0 15725.4
50600 4.06369 0.00109565 15726.6
50700 10.4763 2.33441e-08 15850.6
50800 3.45176 0.00305809 15969.4
50900 -3.2188 221.23 16013.8
51000 3.23541 0.00439598 15991.4
51100 5.09851 0.000193115 15898.1
51200 0.0137246 0.977241 15791.6
51300 3.44411 0.00309758 15687.7
51400 -4.78392 3054.97 15671.3
51500 1.28253 0.116331 15687.7
51600 1.80707 0.0482592 15688.1
51700 2.62684 0.0122008 15709.6
51800 0.95379 0.20192 15758.9
51900 0.648603 0.336902 15821.9
52000 3.52781 0.00269183 15848.3
52100 -0.337471 1.76134 15892.1
52200 4.92527 0.00025824 15934.4
52300 4.54633 0.000487608 15896
52400 1.61565 0.0665313 15877.1
52500 0.277015 0.628346 15853.6
52600 3.36211 0.00355435 15846.7
52700 -1.71538 17.7676 15889.1
52800 -0.497862 2.30507 15903.7
52900 3.26297 0.00419737 15906.4
53000 -1.04793 5.79966 15876.4
53100 0.96736 0.197376 15842.9
53200 2.85656 0.00829927 15859.6
53300 -5.63063 12642.3 15949.1
53400 -0.0795905 1.14283 16062.7
53500 -0.725768 3.3784 16150.3
53600 -3.5362 376.76 16128.5
53700 4.01928 0.00118038 16124.2
53800 0.743105 0.287515 16201
53900 1.45489 0.0871229 16240.4
54000 2.28662 0.0215889 16143
54100 -1.47844 11.9404 15961.8
54200 2.70225 0.0107511 15797.7
54300 1.10598 0.156426 15726.5
54400 1.7161 0.0562147 15730.4
54500 -0.848423 4.15014 15802.7
54600 2.36461 0.0189417 15828.5
54700 -3.08549 176.9 15842.4
54800 -0.971198 5.0992 15884.6
54900 -1.91874 24.9901 15898.6
55000 2.02167 0.0336699 15812.2
55100 -4.0007 821.19 15734.3
55200 0.842546 0.243343 15677.7
55300 7.78805 2.12096e-06 15627.3
55400 4.28394 0.00075721 15593.8
55500 5.11588 0.000187569 15586.3
55600 2.5773 0.0132579 15627.4
55700 1.60264 0.067999 15702.1
55800 0.0404021 0.934475 15745.5
55900 -1.14508 6.82607 15723.5
56000 2.1341 0.0278832 15728.9
56100 7.14171 6.27162e-06 15780.7
56200 2.57509 0.0133072 15782.7
56300 3.62457 0.00228855 15707.4
56400 0.995559 0.188257 15667.8
56500 2.98326 0.00671034 15669.4
56600 2.49717 0.0151653 15634.1
56700 7.01746 7.72484e-06 15588.7
56800 4.93365 0.000254635 15545.6
56900 5.77529 6.20574e-05 15477.7
57000 1.52435 0.0775423 15465.3
57100 1.95547 0.0376246 15547
57200 0.511761 0.423829 15599
57300 1.24823 0.123221 15566.8
57400 3.26618 0.00417483 15468.9
57500 -0.670001 3.0767 15395.6
57600 2.29555 0.0212683 15392.6
57700 3.88386 0.0014814 15460
57800 2.00731 0.0344908 15586.5
57900 5.98455 4.36868e-05 15717.6
58000 1.1288 0.150552 15745.8
58100 0.118556 0.81966 15748.6
58200 6.00462 4.22405e-05 15700.4
58300 -3.75228 541.351 15587.6
58400 2.23139 0.0236848 15479.6
58500 1.11262 0.154695 15451.2
58600 3.77954 0.00176468 15500.6
58700 8.30758 8.87277e-07 15611.9
58800 0.197532 0.717961 15689.6
58900 -2.46449 62.4226 15717.4
59000 1.60923 0.0672512 15698.1
59100 5.03817 0.000213683 15681.9
59200 -1.36587 9.88583 15693.3
59300 4.30852 0.000726625 15725.7
59400 5.37186 0.000122091 15747.1
59500 -1.84669 22.1455 15725.9
59600 0.982472 0.192435 15614.6
59700 11.1632 7.37526e-09 15469.5
59800 1.32338 0.108627 15359.4
59900 -1.2631 8.32047 15368.7
60000 -0.65392 2.99482 15469.5
60100 2.57914 0.0132172 15620.4
60200 1.23142 0.126745 15731.5
60300 1.00485 0.185345 15814.3
60400 0.0620829 0.901101 15830.7
60500 3.56554 0.00252675 15757.3
60600 2.82083 0.00881193 15620.4
60700 1.74209 0.0538164 15473.1
